,Id,mother_id,mother_name,father_id,father_name,Name,Gender,Job,House,Wand,Patronus,Species,Blood status,Hair colour,Eye colour,Loyalty,Skills,Description,Birth,Death
57,58,,Merope (Gaunt) Riddle,,Tom Riddle Snr,Tom Marvolo Riddle,Male,Student,Slytherin,"13½"" Yew phoenix feather core",Unknown,Human,Half-blood,Bald,Scarlet ,,Dark Lord  Outstanding manipulation  Parseltongue  Heir of Slytherin  Dark magic  Inferi creation and control,"Tom Marvolo Riddle was a gifted young wizard born of a witch mother (Merope Gaunt) and a Muggle father (Tom Riddle, Sr.) on December 31, 1926. His mother had fallen in love with his father, who was a Muggle, and tricked him into marrying her with a… ",31 December 1926,2 May  1998
58,59,,Mrs Nott,,Mr Nott,Theodore Nott,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Brown,,,,"Theodore Nott (Slytherin, 1991-1998) is the son of the Death Eater Nott (PS7, OP26). Theodore is described as “weedy-looking” (OP26) and “a clever loner who does not feel the need to join gangs, including Malfoy’s” (JKR). During Care of Magical Creatures class in fifth year, he… ",1 September  1979 – 21 April  1980,
59,60,,-,,-,Rodolphus Lestrange,Male,,Slytherin,Unknown,Unknown,Human,Pure-blood,Dark,Dark,Lord Voldemort  | Death Eaters,,"Rodolphus Lestrange was a Slytherin student in the early 1970s (GF27) and a Death Eater thereafter. He was the brother of Rabastan, husband of Bellatrix (GF27, GF30, OP6). Rodolphus and his brother Rabastan were captured by the Ministry of Magic after their attack on the Longbottoms… ",Pre 1964,
60,61,,-,,-,Millicent Bulstrode,Female,Student,Slytherin,Unknown,Unknown,Human,Half-blood,Black,,,,"Slytherin, 1991 – 1998 (PS7) Member of Umbridge’s Inquisitorial Squad in her fifth year (OP32). In her second year, Millicent partnered Hermione at the Duelling Club at Snape’s direction, resorting to a headlock despite the standard “no contact” rule of wizard duelling, leaving some black hair on… ",1 September 1979- 31 August 1980 ,
61,62,,-,,-,Graham Montague,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Brown,,Quidditch captain  Chaser,Montague was a Hogwarts student in Slytherin House c. 1989-1996. He played on the Slytherin Quidditch Team as a Chaser (PA15) and later became their team’s Captain (OP19). He was also appointed by Professor Dolores Umbridge to be a member of her Inquisitorial Squad (… ,In or prior to c.1981,
62,63,,-,,-,Bloody Baron,Male,Slytherin House Ghost,Slytherin,Unknown,Unknown,Ghost,Pure-blood or half-blood,,,,Controlling Peeves,"The Bloody Baron is the Slytherin House ghost, a grim, silent, and terrifying specter with a gaunt face and blank eyes. His robes are covered with silver bloodstains. He is never heard to speak, although Harry does impersonate him once, using a hoarse whisper (PS16). A favorite pastime… ",Post 982,11th century
63,64,,-,,-,Marcus Flint,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,,Chaser  Captain,"Marcus Flint was a Slytherin, Chaser and captain of the Slytherin Quidditch team for Harry’s first three years at Hogwarts. Harry thought he looked like he had troll blood. He wasn’t beyond a bit of cheating to win a match (PS11, CS7, CS10,… ", 1 September 1975- 31 August 1976,
64,65,,-,,-,Penelope Clearwater,Female,Student,Ravenclaw,Unknown,Non-corporeal,Human,Muggle-born or half-blood[,Blonde,,,Prefect,"Penelope Clearwater was the girlfriend of Percy Weasley while at Hogwarts, though their relationship was kept a secret for quite some time. They began dating in their fifth year. She has long curly hair (CS12). Penelope was Sorted into Ravenclaw and attended Hogwarts from1987 – 1994. She is a prefect from 1992 to 1994. ", 1 September 1975- 31 August 1976,
65,66,,-,,-,Roger Davies,Male,Student,Ravenclaw,Unknown,Unknown,Human,,Dark,Dark,,Quidditch Captain  Chaser,"Roger Davies was a popular, athletic Ravenclaw student at Hogwarts, a year or two older than Harry Potter.  He was a Chaser on the Ravenclaw Quidditch Team, and Captain of the Team from 1993 to 1996 (at least). Roger went with Fleur Delacour to the… ", 1 September 1977- 31 August 1978,
66,67,,-,,Mr Belby,Marcus Belby,Male,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Dark,,,"A “thin and nervous-looking” boy, in Ravenclaw and a year ahead of Harry. A candidate for the Slug Club because his Uncle Damocles invented Wolfsbane potion (HBP7), but not a favored member because he does not see much of his Uncle Damocles. ", 1 September 1978 - 31 August 1979,
67,68,,-,,-,Salazar Slytherin,Male,Founder of Slytherin,Slytherin,snakewood  Basilisk horn,Unknown,Human,Pure-blood,Grey,Dark,,Accomplished Legilimens and one of the first recorded Parselmouths,"Salazar Slytherin was the founder of Slytherin house and one of the co-founders of Hogwarts, described as one of “the four greatest witches and wizards of the age” (along with the other three founders) (CS9). He believed that only pure-blood witches and wizards should be allowed… ",Pre 976,11th century
68,69,,-,,-,Godric Gryffindor,Male,Founder of Gryffindor,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Red,Green,,The most accomplished duellist of his time,"Godric Gryffindor was the founder of Gryffindor House and one of the co-founders of Hogwarts, described as one of “the four greatest witches and wizards of the age” (along with the other three founders) (CS9). ",Pre 976,11th century
69,70,,-,,-,Rowena Ravenclaw,Female,Founder of Ravenclaw,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Dark,,Extremely skilled witch  known for her intelligence and wisdom,"Rowena Ravenclaw was the founder of Ravenclaw House and one of the co-founders of Hogwarts, described as one of “the four greatest witches and wizards of the age” (along with the other three founders) (CS9). ",Pre 976,11th century
70,71,,-,,-,Nearly-Headless Nick,Male,Gryffindor House Ghost,Gryffindor,Unknown,Unknown,Ghost,,Grey,,,,"Nearly Headless Nick is the nickname of the ghost of Sir Nicholas de Mimsy Porpington, a wizard who died in a botched execution on October 31, 1492. He was hit forty-five times in the neck with a blunt axe, but a half-inch of skin and sinew remained connecting his head… ",1401 -1475,31 October  1492
71,72,,-,,-,Cuthbert Binns,Male,Professor of History of Magic ,,Unknown,Unknown,Ghost,,White (balding),Black,,Boring a class with facts that might be interesting if anyone else was giving the lesson,"Binns is the History of Magic teacher and the only professor at Hogwarts who is a ghost. Binns enters the classroom through the blackboard. He is ancient and shriveled in appearance, semi-transparent and a pearly-white color. After living to a great age, Binns died after falling asleep in front of… ",,Pre 1970s
72,73,,Mrs Crouch,,Bartemius Crouch Snr,Barty Crouch Jr.,Male,Professor of Defence Against the Dark Arts (as Alastor Moody) ,,Unknown,Unknown,Human,Pure-blood or half-blood,Straw blond,Pale  freckled,Lord Voldemort  | Death Eaters,Skilled potioneer,"Bartemius Crouch Jr., known as Barty, was one of Voldemort’s most faithful Death Eaters. Barty Crouch Jr. was the only child of Ministry official Barty Crouch, Sr., who personally sent his son to Azkanban. ",1962,1995-1996
73,74,,-,,-,Charity Burbage,Female,Professor of Muggle Studies,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Blonde,,,Teaching and studying the Muggle world,"Charity Burbage was a professor of Muggle Studies at Hogwarts (DH2). She wrote an impassioned defense of Muggle-borns in the Daily Prophet during the summer of 1997; in retaliation, she was taken prisoner, then killed personally by Voldemort less than a week later at Malfoy Manor, at which point… ",Before 1976,Late July  1997
74,75,,-,,-,Firenze,Male,Professor of Divination,,,,Centaur,,White-blond,Astonishingly blue,,,"Firenze is a centaur with white-blond hair, palomino body, and blue eyes (PS15). He trusts humans more than the rest of the centaurs; he let Harry ride on his back in order to bring him to a safe place and helped him understand that Voldemort was lurking in the Forbidden Forest and planning to get the Philosopher’s… ",,
75,76,,-,,-,Alecto Carrow,Female,Professor of Muggle Studies,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,,,Lord Voldemort  | Death Eaters,Spreading anti-Muggle propaganda,"Alecto and Amycus Carrow (JKR) were Death Eaters, a brother and sister, part of the group of Death Eaters that invaded Hogwarts in June of 1997 (HBP27); Snape implies that they were never sent to Azkaban (HBP2). When Voldemort took over Hogwarts, Alecto Carrow became the Muggle Studies teacher… ",Pre 1981,
76,77,,-,,-,Amycus Carrow,Male,Professor of Dark Arts,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,,,Lord Voldemort  | Death Eaters,Cruciatus Curse,"Amycus Carrow was a squat, “lumpy” looking wizard with a lopsided leer and a wheezy giggle. Part of the group of Death Eaters who participated in the Battle of the Tower, where Amycus egged on Draco to kill Dumbledore, and had fun trying to curse Ginny Weasley (HBP27). Snape… ",Pre 1982,
77,78,,-,,-,Helga Hufflepuff,Female,Founder of Hufflepuff,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Blue,,Food-related Charms. Many traditional Hogwarts recipes originated with her,"Helga Hufflepuff was the founder of Hufflepuff House and one of the co-founders of Hogwarts, described as one of “the four greatest witches and wizards of the age” (along with the other three founders) (CS9). She was much more accepting than the other founders, advocating for accepting… ",Pre 976,11th century
78,79,,-,,-,Fat Friar,Male,Hufflepuff House Ghost,Hufflepuff,Unknown,Unknown,Ghost,,Brown,,,Curing peasants of the pox,"The Fat Friar is the house ghost of Hufflepuff.  He is a jolly, friendly ghost who cheerfully wishes the first years good day and hopes they’ll be in Hufflepuff (PS7). He was executed after senior churchmen found it suspicious that he could cure the pox by pointing a stick at… ",10th century,Pre 1988
79,80,,Rowena Ravenclaw,,-,Helena Ravenclaw,Female,Ravenclaw House Ghost,Ravenclaw,Unknown,Unknown,Ghost,Pure-blood or half-blood,Black,Grey,,,"More commonly known as “The Grey Lady,” the Ravenclaw ghost. Harry and Ron first encounter this tall ghost as she glided past in the corridor while out looking for the Mirror of Erised (PS12). Harry eventually discovers that The Grey Lady is Helena, the daughter of Hogwarts founder Rowena… ",Post 982,996-1000
80,81,,Andromeda (Black) Tonks,,Edward Tonks,Nymphadora Tonks,Female,Auror,Hufflepuff,Unknown,Jack rabbit  Wolf,Human,Half-blood,Variable,Variable,Ministry of Magic | Order of the Phoenix,Talented Auror  Metamorphmagus,"Nymphadora Tonks, or Tonks as she prefers to be called, is a Metamorphmagus Auror and member of the Order of the Phoenix. She is a pretty young woman with a heart-shaped face. Her hair changes color, but is often bubble-gum pink. Her father calls her ‘Dora.’ Tonks is an Auror and… ", 1 September 1972- 31 August 1973,2 May  1998
81,82,,-,,-,Pomona Sprout,Female,Professor of Herbology | Head of Hufflepuff House,Hufflepuff,Unknown,Non-corporeal,Human,Pure-blood or half-blood,,Grey,,Herbology,"Pomona Sprout was a squat little witch with fly-away gray hair who taught Herbology at Hogwarts. In the greenhouses, Sprout had to deal with a wide variety of magical plants, some of which were very strange and even dangerous. She handled them all with aplomb, even the Venomous Tentacula. Her… ",15 May,
82,83,,Mrs Scamander,,-,Newton Scamander,Male,Employee in the Beast Division of the Department for the Regulation and Control of Magical Creatures,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Red brown,Blue,,Magizoology  Order of Merlin  Second Class,"Newton “Newt” Scamander is a famous magizoologist and author of Fantastic Beasts and Where To Find Them (PS5) as well as a number of other books. Now retired, Scamander lives in Dorset with his wife Porpentina (FB). He received the Order of Merlin, second… ",24 February 1897,
83,84,,Mrs Diggory,,Amos Diggory,Cedric Diggory,Male,Student,Hufflepuff,"12¼""  Ash  unicorn hair",Unknown,Human,Pure-blood,Dark,Grey,,Skilled Seeker,"Cedric Diggory was an extremely handsome boy with gray eyes in Hufflepuff House. In 1993, when he was a Fifth Year, he took over as Captain and Seeker of the Hufflepuff Quidditch team. He was a very good student and a Prefect. He is quite tall… ",1 September - 30 October 1977,24 June  1995
84,85,,,,,Justin Finch-Fletchley,Male,Student,Hufflepuff,Unknown,Non-corporeal,Human,Muggle-born,Red,,Dumbledore's Army,,"A member of Dumbledore’s Army, this curly-haired Muggle-born wizard was down for the exclusive Muggle school Eton until he got the letter from Hogwarts (so it is quite likely that his parents are very wealthy). Justin was threatened by a snake at the Duelling Club until Harry called… ",1 September 1979- 31 August 1980,
85,86,,,,,Zacharias Smith,Male,Student,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Blonde,,Dumbledore's Army,Chaser,"Zacharias Smith is a student in Hufflepuff House during the 1990s. A real winner of a guy who seems to offend people every time he speaks. He was a Chaser on the Hufflepuff Quidditch team from at least 1995 (OP16, OP26). Zacharias joined Dumbledore’s… ",1 September 1979 - 2 May 1981,
86,87,,,,,Hannah Abbott,Female,Student,Hufflepuff,Unknown,Non-corporeal,Human,Half-blood,Blonde,Brown,Dumbledore's Army,Defensive spells  learned with Dumbledore's Army,"Hannah Abbott is a Hufflepuff student in Harry’s year at Hogwarts. A pink-faced blonde girl who wears her hair in pigtails (PS7), Hannah is a close friend of Ernie Macmillan (CS11, CS15), who shares her hobby of collecting chocolate frog cards (GF19). Both Hannah and… ",1 September 1979 - 31 August 1980,
87,88,,,,,Ernest Macmillan,Male,Student,Hufflepuff,Unknown,Boar,Human,Pure-blood,Blond,,Dumbledore's Army,Revising  being a Prefect  getting the wrong end of the stick,"Ernie Macmillan is a Hufflepuff student in Harry‘s year. Though sort of a pompous fellow, Ernie’s heart and loyalties are in the right place. Harry first met him in his second year, when Ernie took the lead among the Hufflepuffs in attempting to protect Muggle-born Justin Finch-Fletchley. ",21 April 1980 - 31 August 1980,
88,89,,,,,Susan Bones,Female,Student,Hufflepuff,Unknown,Unknown,Human,Half-blood,,,Dumbledore's Army,Defensive spells  learned with Dumbledore's Army,"Student at Hogwarts, 1991-1998 (PS7); sorted into Hufflepuff. ",1 September 1979 - 31 August 1980,
89,90,,,,,Walden Macnair,Male,Executioner for the Committee for the Disposal of Dangerous Creatures,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,Lord Voldemort  | Death Eaters,Liaising with giants,"Walden Macnair was a Death Eater and Ministry of Magic employee who sported a black moustache. In the years between the first and second wars against Voldemort, Macnair worked as an executioner of dangerous creatures for the Ministry of Magic (PA16, PA21, GF33). MacNair was… ",In or before 1970s,
90,91,,,,,Augustus Rookwood,Male,Unspeakable,Slytherin,Unknown,None,Human,Pure-blood or half-blood,Brown/greying,,Lord Voldemort | Death Eaters,Spying for Lord Voldemort,"Augustus Rookwood was a Death Eater and spy in the Ministry during the first war with Voldemort. He worked for the Department of Mysteries but had agents throughout the Ministry, not all of whom knew who they were really working for. (For example, Rookwood was an… ",pre 1964,
91,92,,,,,Antonin Dolohov,Male,Death Eater,Slytherin,Unknown,None,Human,Pure-blood or Half-blood,Dark,,Lord Voldemort | Death Eaters,Duelling. Fought and killed Molly Weasley's brothers and Remus Lupin,"Antonin Dolohov was a particularly sadistic Death Eater, one of Tom Riddle’s friends after leaving school (HBP20). He was sent to Azkaban for the murders of Gideon and Fabian Prewett (OP25). Dolohov escaped from Azkaban early in 1996, along with Bellatrix Lestrange and several other high-security prisoners, and rejoined… ",pre 1950,
92,93,,,,,Corban Yaxley,Male,Head of the Department of Magical Law Enforcement,Slytherin,Unknown,None,Human,Pure-blood or Half-blood,Blonde,Blue,Lord Voldemort  | Death Eaters,Imperius curse  undercover work,"Corban Yaxley was a Death Eater with a prominent role during Voldemort’s second rise to power.  According to Snape, Yaxley denied Voldemort to escape Azkaban when Voldemort disappeared after attacking the Potters (HBP2). Three days after Voldemort was reborn in the Little Hangleton graveyard, Yaxley was dispatched to find Horace… ",Pre 1970s,
93,94,,,,,Igor Karkaroff,Male,Headmaster of Durmstrang Institute,,Unknown,None,Human,Pure-blood or Half-blood,Silver| formerly black,,,Skilled in the Dark Arts,Igor Karkaroff was Headmaster of Durmstrang Institute and a former Death Eater. Karkaroff turned in other Death Eaters to the Wizengamot in order to save himself from Azkaban. He ran for his life in June 1995 when the Dark Mark burned into his arm showed that… ,pre 1965,24 June 1995 – 31 July 1996
94,95,,,,,Kingsley Shacklebolt,Male,Auror  | Minister for Magic,,Unknown,Lynx,Human,Pure-blood,Bald,Black,Order of the Phoenix,Exceptionally skilled duellist and Auror,"Kingsley Shacklebolt was a highly capable Auror and a member of the Order of the Phoenix. He resisted Voldemort’s takeover of the Ministry in 1997, even appearing on the Potterwatch radio program, and was made Minister of Magic in 1998 after Voldemort’s demise. Kingsley was a tall, bald black wizard who… ",Pre 1973,
95,96,,,,,Alastor Moody,Male,Auror ,,Unknown,Non-corporeal,Human,Pure-blood,Grey,One dark one electric blue,Order of the Phoenix,A highly accomplished Auror and an outstanding duellist  also skilled in non-verbal magic,"Alastor “Mad-Eye” Moody is a retired Auror, considered one of the best Dark Wizard catchers the Ministry has ever had. Moody came on staff for a year at Hogwarts, but  spent it at the bottom of a magical trunk, unbeknownst to anyone but the imposter who put him there (… ",Pre 1960,27 July  1997
96,97,,,,,Alice Longbottom,Female,Auror,,Unknown,Unknown,Human,Pure-blood,Blonde,,Order of the Phoenix,Auror,"Alice Longbottom, along with her husband Frank, were Aurors, popular in the Wizarding World, who fought valiantly against Voldemort and his supporters during the 1970s. Frank and Alice were captured by Death Eaters shortly after the fall of Voldemort (late 1981). They were subjected to the Cruciatus Curse in an attempt… ",,
97,98,,,,,Frank Longbottom,Male,Auror,Gryffindor,Inherited by his son  Neville. It was broken in battle at the Department of Mysteries.,Unknown,Human,Pure-blood,Blonde,,Order of the Phoenix,Auror,"Frank Longbottom, along with his wife Alice, were famous Aurors who fought valiantly against Voldemort and his supporters during the 1970s. Frank and Alice were members of the original Order of the Phoenix (OP9, PC/JKR1). They were captured by Bellatrix Lestrange, Barty Crouch Jr., and several other Death Eater  shortly after… ", 1 September 1957 - 31 August 1959 or earlier,
98,99,,,,,Rufus Scrimgeour,Male,Head of Auror Office| Minister for Magic,,Unknown,Non-corporeal,Human,,Tawny,Yellowish,Minister of Magic,Highly regarded as a skilled Auror,"Rufus Scrimgeour was head of the Auror Office of the Ministry of Magic when he was tapped to replace Cornelius Fudge as Minister of Magic. Scrimgeour took over at a dangerous time, when the return of Voldemort had been revealed and the Wizarding world was in turmoil. ",Pre 1968,1 August  1997
99,100,,,,,Cornelius Oswald Fudge,Male,Minister for Magic,,Unknown,Non-corporeal,Human,Pure-blood or Half-blood,Grey,,Minister of Magic,Turning a blind eye to the continuing threat of Dark Magic in the name of keeping up morale,"Minister of Magic 1990-1996 (HBP1) and previously Junior Minister in the Department of Magical Accidents and Catatrophes (PA10). Cornelius Oswald Fudge was Minister of Magic from 1990 (according to The Quibbler, OP10) until June 1996 when he was replaced by Rufus Scrimgeour. ",Pre 1964,
100,101,,,,,Barty Crouch Sr.,Male,Head of the Department of International Magical Cooperation,,Unknown,Non-corporeal,Human,Pure-blood,Grey,,Minister of Magic,Multilingual  able to fight the Imperius curse,"Bartemius Crouch Sr. was a strict ministry official, known for sentencing his own son to Azkaban. Barty Crouch Sr. was famous for aggressively prosecuting Dark Wizards in the days of Voldemort’s rise to power. His fervor led him to authorize methods almost as bad as those of the Death Eaters… ",Pre 1940,27 May  1995
101,102,,,,,Amos Diggory,Male,Employee of the Department for the Regulation and Control of Magical Creatures,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Brown,Ruddy,Minister of Magic,Works for the Department for the Regulation and Control of Magical Creatures,"Amos Diggory was a Ministry of Magic official who worked for the Department for the Regulation and Control of Magical Creatures. Amos is a ruddy-faced wizard with a scrubby brown beard. He takes a great deal of pride in his son, Cedric, even to the point of being somewhat rude… ",,
102,103,,,,,Dedalus Diggle,Male,,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,,,Order of the Phoenix,An enthusiastic volunteer for the Order and a helpful escort for Harry and his relatives,"Dedalus Diggle was a member of the Order of the Phoenix in both the first and second wars against Voldemort (OP3, OP9). He also happened to be in the Leaky Cauldron when Hagrid brought Harry in on July 31, 1991. Diggle once bowed to Harry in a shop (… ",Pre 1964,
103,104,,,,,Elphias Doge,Male,Special Advisor to the Wizengamot,,Unknown,Non-corporeal,Human,Pure-blood,Silver,Grey/Blue[,Order of the Phoenix,Writing,"Elphias Doge was an old wizard the same age as Dumbledore, with a wheezy voice and silver hair (DH8). Doge was part of the original Order of the Phoenix and at the time wore a “stupid” hat. Part of the Advance Guard that helped Harry in his escape from… ", 1 September 1880 - 31 August 1881,
104,105,,,,,Fleur Isabelle Delacour,Female,Part-time at Gringotts Wizarding Bank,Beauxbatons Academy of Magic,"9½""  Rosewood  veela hair",Non-corporeal,Human,Quarter-Veela,Silvery-blonde,Dark blue[,Order of the Phoenix,part Veela  and therefore possesses some of their magical powers. She was also selected to compete in the Triwizard Tournament,"Fleur Isabelle Delacour is a talented part-Veela witch who was the Beauxbatons champion for the 1994-1995 Triwizard Tournament (GF16). She married Bill Weasley in August 1997. Triwizard Tournament and Hogwarts Initially, Fleur is a bit haughty and dismissive. She attended the Yule Ball of December 1994 with Roger Davies… ",Pre 30 October  1977,
105,106,,,,,Aberforth Dumbledore,Male,Owner and Barman of the Hog's Head Inn,,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,Bartending  caring for Ariana,"Aberforth Dumbledore was a tall, thin, grumpy-looking old man with a great deal of long grey hair and a beard (OP16). Like his famous brother Albus, he wore glasses (HBP12) and had blue eyes (DH). Aberforth was the barkeep at the Hog’s Head in Hogsmeade (EBF) and was… ", 1 September 1883-31 August 1884,
106,107,,,,,Mundungus Fletcher,Male,Dealer of wizarding artifacts,,Unknown,Non-corporeal,Human,Half-blood[,Ginger,Brown,Order of the Phoenix,Gathering information for the Order  dealing in stolen cauldrons  'acquiring' the odd Muggle car,"Mundungus Fletcher is a rather dodgy character, a crook whose shady business dealings are always getting him into trouble. However, he’s also a member of the Order of the Phoenix. ",Before 1962,
107,108,,,,,Sturgis Podmore,Male,Advance Guard,,Unknown,Unknown,Human,Pure-blood or half-blood,Straw-coloured,Brown,Order of the Phoenix,Carrying out guard duty for the Order,"Square-jawed wizard with thick straw-colored hair. Member of the Order of the Phoenix and part of the Advance Guard that helped Harry escape from number four Privet Drive (OP3). Podmore was on guard duty at entrance of the Department of Mysteries on August 31, 1995 when he was apprehended… ", 8 September 1956 - 7 September 1957,
108,109,,,,,Hestia Jones,Female,Advance Guard,,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,Order of the Phoenix,Carrying out escort missions for the Order,"Hestia Jones was a new member of the Order of the Phoenix. She was a pink-cheeked, black-haired witch who was part of the Advance Guard that helped Harry in his escape from Privet Drive (OP3), and assigned to escort the Dursleys to safety before Harry’s departure (DH3).  … ",Pre 1978,
109,110,,,,,Marlene McKinnon,Female,,,Unknown,Unknown,Human,,Red,Brown,Order of the Phoenix,,"A member of the Order of the Phoenix in the 1970s, Marlene and her whole family were killed by Voldemort’s supporters (PS4,OP9), including Travers (GF30), shortly before Voldemort’s downfall (DH10). ",,July  1981
110,111,,,,,Fabian Prewett,Male,,,Unknown,Unknown,Human,Pure-blood,Red,Grey,Order of the Phoenix,Duelling,"Fabian Prewett was a brother of Molly (Prewett) Weasley (JKR, OP9). He died heroically in the first wizarding war. ",,1981
111,112,,,,,Gideon Prewett,Male,,,Unknown,Unknown,Human,Pure-blood,Red ,Dark Grey,Order of the Phoenix,Duelling,"Gideon Prewett was a member of the original Order of the Phoenix. Along with Fabian Prewett, one of the brothers of Molly (Prewett) Weasley (JKR, OP9), they were, according to Hagrid, among the “best witches and wizards of the age” who were killed during the first wizarding war (PS4). ",,1981
112,113,,,,,Emmeline Vance,Female,Advance Guard,,Unknown,Unknown,Human,,,,Order of the Phoenix,,"Emmeline Vance was a member of the Order of the Phoenix, both in the 1970s and in the 1990s. She was part of the Advance Guard that escorted Harry from number four, Privet Drive to number twelve, Grimmauld Place (OP3, OP9). She is described as a stately-looking witch… ",pre 1964,Early July  1996
113,114,,,,,Edgar Bones,Male,,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Reddish-brown,Grey,Order of the Phoenix,Said to be a great wizard,"Edgar was a member of the Order of the Phoenix in the 1970s; Moody said “he was a great wizard.” Killed, with his wife and children, by a Death Eater before Voldemort fell (OP9). Brother of Amelia Susan Bones, uncle of Susan Bones. ",,1981
114,115,,,,,Dorcas Meadowes,Female,,,Unknown,Unknown,Human,,Black,Brown,Order of the Phoenix,,Dorcas Meadowes was a member of the Order of the Phoenix Order of the Phoenix who was killed personally by Voldemort (OP9).  … ,,1981
115,116,,,,,Benjy Fenwick,Male,,,Unknown,Unknown,Human,,Black,Black,Order of the Phoenix,,Benjy Fenwick was a member of the Order of the Phoenix during the 1970s. He was killed by Death Eaters (OP9). ,,1981
116,117,,,,,Madame Olympe Maxime,Female,Headmistress of Beauxbatons Academy of Magic,Beauxbatons Academy of Magic,Unknown,Unknown,Half-Human/Half-Giant,Part-Human (Half-giant),Brown,Black,,An excellent dancer in the words of Dumbledore himself,"Olympe Maxime was the headmistress of Beauxbatons Academy in France. She was respected both for her work at her job (GF29) and for her wizarding power (OP20). Though she was a half-giant with the height to prove it, she publicly denied her giant ancestry (… ",,
117,118,,,,,Gabrielle Delacour,Female,,Beauxbatons Academy of Magic,Unknown,Unknown,Human ,Quarter-Veela,Silvery-blonde,,,part Veela and therefore may possess some of their magical powers,"Gabrielle is Fleur Delacour’s younger sister, served as Fleur’s designated hostage in the second task of the Triwizard Tournament (GF26). ", 31 July 1985 - 30 July 1986,
118,119,,,,,Viktor Krum,Male,Seeker for the Bulgarian National Quidditch team,Durmstrang Institute,"10¼""  Hornbeam  dragon heartstring",Unknown,Human ,Pure-blood or half-blood,Dark,Dark,,One of the best Seekers in the world,"Viktor Krum is a Bulgarian wizard who was their national side’s Seeker at the Quidditch World Cup (1994, 2002, 2014) and also Durmstrang Institute‘s representative at the Triwizard Tournament held at Hogwarts in 1994. A famous international Quidditch player for the Bulgarian National Team while still… ",April-August  1976,
119,120,,,,,Petunia Dursley,Female,,,,,Human ,Muggle,Blonde,,,,"Aunt Petunia is Lily (Evans) Potter’s older sister, and the wife of Vernon Dursley.  The Dursleys live at number four Privet Drive, Little Whinging, Surrey. She is a tall, very thin blond with a long neck and an angular face. Estrangement and bitterness Petunia and Lily grew up in… ",Pre 1960,
120,121,,,,,Vernon Dursley,Male,Director at Grunnings,,,,Human ,Muggle,Black,,,Schmoozing clients  pretending magic doesn't exist,"Vernon Dursley is the husband of Harry’s Aunt Petunia. Like her, he is very much a Muggle. In fact, he is about as Muggle as a person can get. He has no use for imagination at all. He is a large, beefy man with very little neck and a bushy… ",Pre 1954,
121,122,,,,,Dudley Dursley,Male,,,,,Human ,Muggle,Blond,Blue,,,"Profile Dudley was born on June 23, 1980. Dudley Dursley is Harry Potter’s Muggle cousin, and the only son of Vernon and Petunia Dursley of number four Privet Drive, Little Whinging, Surrey. Dudley, in extreme contrast to Harry, was grossly overindulged by both his mother and… ", 23 June 1980,
122,123,,,,,Marge Dursley,Female,Dog breeder,,,,Human ,Muggle,Grey,,,Breeding bulldogs,"Miss Marjorie Eileen Dursley is Vernon Dursley’s loathsome older (Pm) sister. She lives in the country, in a house with a large garden where she breeds bulldogs but appears to have no other type of employment. Even though she is not Harry’s blood relation, he has been forced to call… ",Pre 1954,
123,124,,,,,Dennis Creevey,Male,Student,Gryffindor,Unknown,Unknown,Human ,Muggle-born,Mousy brown,,Dumbledore's Army,,"Dennis Creevey was the younger brother brother of Colin Creevey, and a Gryffindor student from 1994 (Harry‘s fourth year) to 2001. Muggle-born and with “mousy” brown hair like Colin, Dennis was the smallest kid in his year when he arrived, and thus almost certainly the smallest kid… ", 1 September 1982 - 31 August 1983,
124,125,,,,,Albus Severus Potter,Male,Student,Slytherin,Unknown,Unknown,Human ,Half-blood,Jet-black,Bright green,,,"Albus Potter is the middle child and second son of Harry Potter and Ginny Weasley Potter.  He is named after two headteachers of Hogwarts: Albus Dumbledore and Severus Snape. Albus is Neville Longbottom‘s godson (Pm) and, when he was six years old, his best friend… ",Between 1 September 2005-31 August 2006,
